,0
1688,35075676
1689,41043201
1690,202616809
1691,49231619
1692,41172614
1693,210427541
1694,202800072
1695,33940772
1696,228863904
1697,48663788
1698,48042423
1699,217652501
1700,237175562
1701,223928587
1702,32240642
1703,221508066
1704,204966106
1705,200404560
1706,42683938
1707,35179024
1708,34289600
1709,31705081
1710,44943840
1711,210881930
1712,41400
1713,228368508
1714,211472677
1715,49287298
1716,233656996
1717,35333380
1718,32483598
1719,409597
1720,233922500
1721,28949595
1722,37015768
1723,230232124
1724,47222323
1725,36973790
1726,211716960
1727,33093345
1728,201589890
1729,204143947
1730,208516665
1731,212083173
1732,222619709
1733,215944903
1734,220279710
1735,47857675
1736,228892639
1737,222397366
1738,203269324
1739,231411849
1740,231304699
1741,220121555
1742,218347091
1743,212347122
1744,212511199
1745,207784138
1746,40832463
1747,32153523
1748,50508588
1749,48521653
1750,44830201
1751,38184392
1752,202770304
1753,231839801
1754,242628936
1755,230445919
1756,47968678
1757,35231129
1758,47892210
1759,38214773
1760,209622142
1761,35803628
1762,43946929
1763,46168680
1764,207169425
1765,34073158
1766,202419555
1767,213524576
1768,40528046
1769,49734483
1770,36781173
1771,238988838
1772,50433955
1773,236558547
1774,46143821
1775,240056635
1776,214114593
1777,240475306
1778,49492233
1779,210506053
1780,46448989
1781,43603212
1782,232600810
1783,31899538
1784,50847597
1785,209314303
1786,32609728
1787,210783401
1788,419158
1789,51366880
1790,240508976
1791,211487134
1792,234822192
1793,32671644
1794,41966250
1795,32683546
1796,50586448
1797,201791346
1798,203417220
1799,45641805
1800,44533995
1801,33266129
1802,201974296
1803,229745176
1804,205110931
1805,237512212
1806,209194258
1807,46762897
1808,38593011
1809,208445839
1810,49678849
1811,215177608
1812,221868918
1813,37517702
1814,231280596
1815,37134544
1816,214595259
1817,236337252
1818,204213608
1819,200063809
1820,50828021
1821,227642854
1822,39642559
1823,218730525
1824,216652824
1825,34376453
1826,47125326
1827,237419114
1828,164479
1829,239230179
1830,31836733
1831,213000571
1832,239566550
1833,237858259
1834,46207451
1835,46775219
1836,37869646
1837,51201304
1838,219804971
1839,44629085
1840,50871405
1841,216791349
1842,205641961
1843,244180966
1844,232157882
1845,202188010
1846,218876791
